State,Phase1_0,Phase2_0,Phase3_0,Phase4_0
MT,0,0,0,0
AZ,0,40,115,175
MA,0,70,120,170
SC,0,10,105,160
WA,0,60,80,150
MD,0,35,90,140
VA,0,55,90,135
CO,0,45,83,134
ME,0,0,0,0
MO,0,30,0,0
MS,0,120,0,0
NC,0,115,160,0
ND,0,0,0,0
NH,0,0,0,0
MN,0,60,0,0
FL,0,125,0,0
AK,0,150,0,0
AL,0,126,0,0
AR,0,140,0,0
CA,0,133,0,0
CT,0,30,115,0
DC,0,50,125,0
DE,0,50,100,0
GA,0,135,0,0
HI ,0,162,0,0
IA,0,70,0,0
IL,0,45,100,0
ID,0,30,150,0
IN,0,40,85,0
KS,0,50,0,0
KY,0,0,0,0
LA,0,40,115,0
MI,0,12,75,0
NE,0,45,90,0
NJ,0,40,120,0
NM,0,60,110,0
NV,0,20,118,0
NY,0,7,100,0
OH,0,40,130,0
OK,0,20,125,0
OR,0,20,125,0
PA,0,20,75,0
RI,0,30,115,0
SD,0,30,90,0
TN,0,125,0,0
TX,0,118,0,0
UT,0,98,135,0
VT,0,2,50,0
WY,0,50,110,0
WV,0,40,0,0
WI,0,55,120,0