state,d1,diff
AL,2020-03-13,273
AK,2020-03-17,269
AZ,2020-03-04,282
AR,2020-03-12,274
CA,2020-03-04,282
CO,2020-03-04,282
CT,2020-03-08,278
DE,2020-03-11,275
FL,2020-03-03,283
GA,2020-03-04,282
HI,2020-03-07,279
ID,2020-03-14,272
IL,2020-03-04,282
IN,2020-03-06,280
IA,2020-03-09,277
KS,2020-03-08,278
KY,2020-03-07,279
LA,2020-03-09,277
ME,2020-03-12,274
MD,2020-03-06,280
MA,2020-03-12,274
MI,2020-03-01,285
MN,2020-03-06,280
MS,2020-03-12,274
MO,2020-03-08,278
MT,2020-03-12,274
NE,2020-03-07,279
NV,2020-03-05,281
NH,2020-03-04,282
NJ,2020-03-05,281
NM,2020-03-10,276
NY,2020-03-03,283
NC,2020-03-04,282
ND,2020-03-12,274
OH,2020-03-09,277
OK,2020-03-07,279
OR,2020-03-05,281
PA,2020-03-06,280
RI,2020-03-01,285
SC,2020-03-07,279
SD,2020-03-11,275
TN,2020-03-05,281
TX,2020-03-06,280
UT,2020-03-07,279
VT,2020-03-08,278
VA,2020-03-08,278
WA,2020-01-19,327
WV,2020-03-18,268
WI,2020-03-04,282
WY,2020-03-12,274